area_type,availability,size,total_sqft,location,bath,LONGITUDE,LATITUDE,balcony,price
Built-up  Area,Ready To Move,3,970.3085581,"Mira Road East,Maharashtra",3,19.2836,72.8675,3,100
Super built-up  Area,Ready To Move,3,1555.299539,"Dasrath Pally,Siliguri",,26.724219,88.326357,,67.5
Built-up  Area,Ready To Move,2,1129.943503,"Mindspace,Lalitpur",1,24.69028,78.41889,1,190
Built-up  Area,18-Mar,2,860.0158772,"Lokhandwala Kandivali East,Mumbai",2,19.1955,72.8728,1,130
Super built-up  Area,Ready To Move,2,2600.472813,"Gopalapatnam,Visakhapatnam",2,17.342126,82.615288,2,99
Super built-up  Area,Ready To Move,2,830,"Valasaravakkam,Chennai",2,13.04394,80.17251,1,66.4
Plot  Area,Ready To Move,2,1200.111638,"Chullickal,Kochi",3,9.9449,76.2534,1,43
Super built-up  Area,Ready To Move,2,953.1590414,"Gollahalli,Bangalore",2,13.1479,77.4179,1,35
Built-up  Area,Ready To Move,2,952.3809524,"I C Colony,Mumbai",4,18.96667,72.83333,1,160
Super built-up  Area,17-Oct,4,1944.742489,"Zirakpur,Chandigarh",2,30.662283,76.822397,2,72.5
Super built-up  Area,Ready To Move,3,1150,"Chembur,Lalitpur",5,19.05871,72.89969,2,230
Built-up  Area,Ready To Move,3,849.0165558,"Jadavpur,Kolkata",2,22.494831,88.370567,2,60
Super built-up  Area,Ready To Move,3,1773.049645,"Sarjapur Road,Bangalore",2,12.86,77.786,2,110
Plot  Area,Ready To Move,2,1300.052002,"Indira Nagar,Lucknow",5,26.886881,80.99442,,75
Super built-up  Area,Ready To Move,3,1500,"Kompally,Secunderabad",3,17.546483,78.480303,0,57
Super built-up  Area,18-May,1,459.9725974,"Pen,Raigad",3,18.75,73.08,1,23.5
Plot  Area,Ready To Move,2,1218.701529,"Kanakpura Road,Bangalore",4,12.896796,77.5724,,110
Super built-up  Area,Ready To Move,1,567.2131148,"Mahim,Palghar",2,19.6394,72.7256,2,17.3
Super built-up  Area,Ready To Move,1,513.3333333,"Ambegaon Bk,Pune",1,18.347616,73.586463,1,15.4
Super built-up  Area,Ready To Move,1,550.0550055,"Hari Om Nagar,Kolhapur",1,16.687388,74.203423,0,25
Super built-up  Area,18-Oct,3,1840.225157,"Sector-129 Noida,Noida",3,28.507373,77.386719,1,85
Plot  Area,Ready To Move,3,1721.875,"Naya Raipur,Raipur",4,29.9055,75.2547,0,55.1
Super built-up  Area,Ready To Move,2,772.0631904,"Dhokali,Mumbai",1,18.96667,72.83333,1,130
Super built-up  Area,Ready To Move,2,824.0317627,"Hiranandani Estate,Maharashtra",2,19.255098,72.9815265,3,110
Super built-up  Area,18-Dec,3,1388.235294,"Uttardhauna,Lucknow",2,26.86056,80.91583,1,47.2
Super built-up  Area,Ready To Move,2,1250,"Manish Nagar,Lalitpur",3,19.12775,72.827595,3,52
Built-up  Area,Ready To Move,3,1125.080593,"Kharar-Landran Road,Mohali",2,30.74,76.65,1,34.9
Super built-up  Area,Ready To Move,3,1804.966096,"Powai,Maharashtra",2,19.12,72.91,1,370
Super built-up  Area,Ready To Move,2,1050.052503,"Gubbalala,Bangalore",2,12.96991,77.59796,1,60
Super built-up  Area,20-Dec,3,845.5944529,"New Panvel,Lalitpur",3,18.966114,73.148278,2,100
Built-up  Area,Ready To Move,1,700,"Mira Road East,Lalitpur",1,19.2836,72.8675,1,56
Super built-up  Area,Ready To Move,2,908.832718,"Kumaranasan Nagar,Ernakulam",3,9.978538,76.301221,2,32
Super built-up  Area,Ready To Move,3,1391.035549,"Jagatpura,Jaipur",2,26.832353,75.841749,3,45
Super built-up  Area,Ready To Move,2,972.2222222,"Sughad,Gandhinagar",2,23.126218,72.628827,2,28
Super built-up  Area,Ready To Move,2,777.1428571,"Borivali (West),Lalitpur",2,19.2361,72.8338,2,170
Built-up  Area,Ready To Move,2,1193.00106,"Bibwewadi,Pune",2,18.47372,73.867323,1,90
Plot  Area,Ready To Move,2,990.0990099,"Chandapura,Bangalore",4,12.80009,77.71182,2,35
Plot  Area,Ready To Move,1,397.6514545,"Madhapar,Rajkot",4,22.750413,70.492714,3,14.9
Built-up  Area,Ready To Move,2,899.8691099,"Kanakpura Road,Bangalore",2,12.896796,77.5724,0,55
Super built-up  Area,Ready To Move,1,639.9317406,"Sector-8 Ulwe,Mumbai",2,19.216097,72.821721,2,45
Built-up  Area,Ready To Move,1,680.9669731,"Link Road,Maharashtra",2,19.213466,72.835096,3,100
Super built-up  Area,18-Apr,1,555.5555556,"Mount Road,Chennai",2,13.048973,80.248296,1,100
Super built-up  Area,Ready To Move,2,1173.062998,"Whitefield,Bangalore",2,12.9958935,77.761394,2,81
Super built-up  Area,Ready To Move,2,1087.150241,"Dum Dum,Kolkata",3,22.648322,88.4431525,2,61
Super built-up  Area,Ready To Move,3,750.085237,"Punjabi Bagh,Bhopal",2,23.258447,77.44113,1,22
Super built-up  Area,Ready To Move,2,1000,"Market yard,Pune",2,18.488418,73.871152,1,85
Super built-up  Area,Ready To Move,3,1593.272848,"Ahinsa Khand 1,Ghaziabad",2,28.9196,76.8972,2,72
Super built-up  Area,Ready To Move,2,950.0542888,"Govind Nagar,Jaipur",3,26.936483,75.839212,1,35
Built-up  Area,Ready To Move,2,951.1077158,"Sector-151 Noida,Noida",2,28.44414,77.465898,0,24.9
Super built-up  Area,18-Jul,3,1500,"Kharadi,Pune",2,18.5438,73.9438,1,75
Super built-up  Area,Ready To Move,3,1885.197562,"Sector-85 Mohali,Mohali",1,30.66486,76.706107,0,95.9
Plot  Area,Ready To Move,2,1240.096452,"Zirakpur,Chandigarh",6,30.662283,76.822397,3,36
Plot  Area,Ready To Move,3,1415.428167,"Baidyanath Nagar,Berhampur",4,19.32,84.78,2,40
Super built-up  Area,Ready To Move,2,1240.221332,"Wardha Road,Nagpur",1,20.75,78.61667,1,65
Super built-up  Area,19-Jan,2,812.9346942,"Balkum,Lalitpur",2,24.69028,78.41889,1,90
Built-up  Area,Ready To Move,3,1647.898929,"Sector-104 Noida,Noida",2,28.537227,77.370417,2,120
Plot  Area,Ready To Move,2,1200.05275,"Mira Road East,Lalitpur",1,19.2836,72.8675,0,91
Plot  Area,18-Aug,3,1434.901878,"Kodigehaali,Bangalore",3,13.0583,77.5732,1,68
Built-up  Area,Ready To Move,2,1215.168657,"Pumpwell,Mangalore",2,12.863386,74.869779,2,58
Super built-up  Area,Ready To Move,2,960.0180709,"Tansi Nagar,Chennai",4,13.09,80.27,2,85
Super built-up  Area,Ready To Move,3,2295.492487,"Sector-121 Mohali,Mohali",1,30.696627,76.693764,1,110
Super built-up  Area,18-Jul,2,1000,"Desa Pathrunipalem,Visakhapatnam",3,17.638457,83.124941,2,19.5
Super built-up  Area,Ready To Move,3,1764.446405,"Konanakunte,Bangalore",2,12.8855,77.5638,2,160
Super built-up  Area,Ready To Move,2,1242.043161,"Sarjapur Road,Bangalore",2,12.86,77.786,2,80
Super built-up  Area,Ready To Move,2,800,"Ashokpuram Colony,Varanasi",3,25.30694,83.00611,2,26
Super built-up  Area,18-May,2,850.1594049,"Vidhyanagar,Bhavnagar",3,21.765,72.13694,3,24
Built-up  Area,18-Jul,1,450.0281268,"Sector 29 Faridabad,Faridabad",2,28.432682,77.322604,1,24
Super built-up  Area,Ready To Move,1,678.119349,"Pen,Raigad",2,18.75,73.08,2,30
Built-up  Area,Ready To Move,3,1844.28929,"Ramagondanahalli,Bangalore",2,12.96991,77.59796,1,140
Super built-up  Area,Ready To Move,2,1015.123265,"Taloja Panchanand,Lalitpur",2,24.69028,78.41889,1,49
Plot  Area,Ready To Move,2,932.8358209,"Raj Nagar Extension,Ghaziabad",3,26.900926,75.775927,2,25
Super built-up  Area,Ready To Move,3,1654.575538,"2nd Block Jayanagar,Bangalore",2,26.696758,90.513797,,130
Built-up  Area,Ready To Move,1,470.388649,"Wagholi,Pune",2,18.5823,73.983,1,30.5
Super built-up  Area,Ready To Move,3,1910.04313,"Zirakpur,Chandigarh",3,30.662283,76.822397,2,62
Super built-up  Area,21-Dec,2,1179.673321,"Kengeri Satellite Town,Bangalore",3,12.91,77.48,2,39
Super built-up  Area,Ready To Move,2,1025.056948,"Taloja,Maharashtra",2,21.56128,74.21238,0,54
Built-up  Area,Ready To Move,4,2200.220022,"Dera Bassi,Chandigarh",1,30.594843,76.84983,1,60
Plot  Area,Ready To Move,1,599.1611744,"Raj Nagar Extension,Ghaziabad",2,26.900926,75.775927,0,20
Super built-up  Area,Ready To Move,2,1100.060277,"Mira Bhayandar,Maharashtra",7,19.30405,72.813559,,73
Plot  Area,18-Mar,2,1256.862179,"Thanisandra,Bangalore",1,13.055985,77.622157,0,87
Carpet  Area,Ready To Move,3,1355.199135,"Srirampura,Mysore",1,12.265026,76.62469,0,75.2
Super built-up  Area,Ready To Move,3,1033.295063,"Maktampur,Bharuch",2,21.706242,73.017227,2,45
Super built-up  Area,Ready To Move,2,1304.052997,"Andheri (East),Mumbai",2,19.1145,72.8712,1,250
Super built-up  Area,Ready To Move,3,1400.124456,"Pimple Saudagar,Pune",3,18.5956,73.7981,2,90
Plot  Area,Ready To Move,2,800,"Sector 20 Kharghar,Mumbai",7,19.049214,73.072916,2,81
Super built-up  Area,19-Dec,3,2169.854166,"Goregaon (East),Mumbai",2,19.1615,72.8731,1,430
Super built-up  Area,Ready To Move,1,569.1056911,"Kadavanthara,Kochi",2,9.967,76.2998,2,28
Built-up  Area,Ready To Move,1,620.0455223,"Sector 8 Airoli,Mumbai",2,19.216097,72.821721,1,79
Super built-up  Area,Ready To Move,2,730.1808067,"Vijay Nagar,Indore",1,22.759741,75.889532,1,21
Super built-up  Area,Ready To Move,2,1075.268817,"Undavalli,Vijayawada",2,16.494167,80.598886,1,34
Super built-up  Area,19-Dec,2,1184.090909,"Vadavalli,Coimbatore",1,11.026678,76.903583,1,52.1
Super built-up  Area,Ready To Move,2,1100,"Kumarpur,Asansol",2,23.694909,86.939424,2,22
Super built-up  Area,Ready To Move,3,1640.28777,"Govind Puram,Ghaziabad",2,28.66667,77.41667,1,57
Carpet  Area,Ready To Move,2,715.0518413,"Indira Gandhi Nagar,Jaipur",5,26.88,75.8057,1,20
Super built-up  Area,Ready To Move,1,564.2633229,"Sanganer,Jaipur",2,26.773189,75.61191,2,9
Super built-up  Area,Ready To Move,3,1500.375094,"Katara Hills,Bhopal",2,23.185756,77.498465,1,40
Built-up  Area,Ready To Move,1,750.1875469,"Panch batti,Bharuch",2,21.7,72.96667,,20
Super built-up  Area,Ready To Move,2,515.6445557,"Sector 78 Faridabad,Faridabad",2,28.38016,77.369936,1,20.6
Built-up  Area,Ready To Move,2,1037.79296,"Sector 11 Belapur,Lalitpur",5,28.59863,77.333939,2,120
Plot  Area,Ready To Move,2,574.0393627,"Sector 86 Faridabad,Faridabad",4,28.406388,77.342588,3,24.5
Super built-up  Area,Ready To Move,2,1179.813594,"Vijaynagar,Mysore",2,12.327102,76.586441,1,51.9
Super built-up  Area,Ready To Move,3,83212.07712,"Chinchwad,Pune",3,18.627,73.7829,3,9150
Built-up  Area,Ready To Move,2,1147.028154,"E M Bypass,Kolkata",4,22.54111,88.33778,0,55
Super built-up  Area,Ready To Move,3,1353.236607,"Sector-134 Noida,Noida",2,28.5041,77.381557,2,48.5
Plot  Area,Ready To Move,3,1688.235294,"Pahala,Bhubaneswar",5,20.26444,85.82806,2,57.4
Super built-up  Area,Ready To Move,3,1900.538486,"Lahargird,Jhansi",3,25.44862,78.56962,2,60
Super built-up  Area,Ready To Move,4,3486.055777,"Sector-82 Mohali,Mohali",2,30.654128,76.732427,2,140
Super built-up  Area,Ready To Move,2,819.1747573,"Ondiputhur,Coimbatore",4,11,76.96667,,27
Plot  Area,Ready To Move,1,600,"Siolim,Goa",10,15.62,73.767,,33
Super built-up  Area,Ready To Move,2,1199.878493,"Kudlu Gate,Bangalore",2,12.88784,77.654131,2,79
Super built-up  Area,Ready To Move,2,1079.830312,"Sector-78 Noida,Noida",3,28.560719,77.386208,1,56
Plot  Area,Ready To Move,3,1650.165017,"Sector-118 Noida,Noida",3,28.579845,77.403693,0,70
Super built-up  Area,Ready To Move,2,1150.054765,"Ahinsa Khand 1,Ghaziabad",2,28.9196,76.8972,2,63
Plot  Area,Ready To Move,2,1042.558737,"Hiranandani Gardens - Powai,Lalitpur",3,19.124896,72.893503,1,280
Super built-up  Area,Ready To Move,4,2632.040709,"Horamavu Agara,Bangalore",3,13.0318,77.6583,2,150
Super built-up  Area,Ready To Move,3,2040.370977,"Sector 82 Faridabad,Faridabad",2,28.394375,77.357227,2,74.8
Super built-up  Area,Ready To Move,2,796.5686275,"Fatorda,Margao",2,15.292135,73.9621265,3,26
Super built-up  Area,18-Mar,2,1080.050826,"Palaspa,Lalitpur",2,24.69028,78.41889,1,68
Built-up  Area,Ready To Move,2,966.8508287,"bannanje,Udupi",3,13.33222,74.74611,3,35
Super built-up  Area,Ready To Move,3,1600,"Poranki,Vijayawada",2,16.47431,80.71281,3,62.4
Super built-up  Area,Ready To Move,2,820.0168209,"Diva East,Maharashtra",2,19.186352,73.046893,2,39
Super built-up  Area,Ready To Move,2,1133.093525,"Sector-100 Noida,Noida",3,28.542768,77.365736,1,63
Plot  Area,Ready To Move,2,1109.960041,"Old Panvel,Lalitpur",4,18.988165,73.107044,1,75
Plot  Area,Ready To Move,1,620.048226,"Puttaparthi,Anantapur",8,14.166198,77.810954,3,18
Super built-up  Area,Ready To Move,2,345.276221,"Ravet,Pune",2,18.651598,73.735448,2,34.5
Built-up  Area,Ready To Move,3,1850.15989,"Vesu,Surat",4,21.143354,72.770931,2,81
Built-up  Area,Ready To Move,3,1390.268123,"Sri Nagar,Visakhapatnam",4,17.677858,83.189346,2,28
Super built-up  Area,18-Mar,2,1090.074584,"Vajarahalli,Bangalore",2,12.864738,77.547489,1,76
Plot  Area,Ready To Move,3,1549.358123,"Jagatpura,Jaipur",8,26.832353,75.841749,3,35
Plot  Area,Ready To Move,2,993.1122858,"Keshav Nagar,Pune",2,27.16726,75.709505,1,62
Super built-up  Area,Ready To Move,2,665.1147323,"Moti Bhayan Vadsar,Gandhinagar",2,23.15561,72.47241,1,20
Built-up  Area,Ready To Move,3,1265.141319,"Sector-137 Noida,Noida",2,28.506454,77.409568,2,47
Plot  Area,18-Sep,2,925.1003121,"Mira Road,Maharashtra",2,19.283359,72.864964,1,83
Super built-up  Area,18-Apr,3,1467.13615,"Sarjapur Road,Bangalore",4,12.86,77.786,3,100
Super built-up  Area,Ready To Move,2,1178.20324,"Ramachandra Rao Pet,Eluru",2,23.329544,85.31537,2,48
Super built-up  Area,18-Dec,1,580.6288032,"Nalasopara (West),Lalitpur",2,24.69028,78.41889,3,22.9
Super built-up  Area,Ready To Move,1,416.6666667,"Kolshet Road,Lalitpur",3,24.69028,78.41889,2,63.1
Built-up  Area,Ready To Move,1,650,"Nallasopara,Lalitpur",3,24.69028,78.41889,2,32.5
Plot  Area,Ready To Move,3,1614.639397,"Mormugao,Goa",14,15.376029,73.901143,,60
Super built-up  Area,20-Dec,1,418.9373297,"Dombivli (East),Maharashtra",3,19.2167,73.0833,0,36.9
Super built-up  Area,Ready To Move,2,1232.006225,"Elus Road Hanumanthappa Layout Kyalasanahalli,Bangalore",2,13.061162,77.65703,2,95
Super built-up  Area,17-Oct,2,711.4854073,"Punawale,Lalitpur",2,24.69028,78.41889,1,49
Super built-up  Area,18-Jun,3,1300.014445,"Adarsh Nagar,Jabalpur",1,26.906098,75.825254,1,450
Super built-up  Area,18-Sep,1,600,"BHAIROPUR,Bhopal",2,23.15292,77.4794,1,36
Super built-up  Area,Ready To Move,2,1225.023139,"Santacruz (West),Lalitpur",3,19.083336,72.83666,3,450
Super built-up  Area,Ready To Move,4,2400,"Pholriwal,Jalandhar",2,31.261414,75.589997,1,69
Plot  Area,19-Mar,2,1215.132693,"Sargasan,Gandhinagar",2,23.182972,72.611485,2,43.04
Plot  Area,Ready To Move,3,1200.171453,"Model Town,Bhilai",4,30.885469,75.844253,0,28
Super built-up  Area,Ready To Move,2,1017.604559,"Mira Road East,Maharashtra",2,19.2836,72.8675,2,100
Built-up  Area,Ready To Move,2,893.4869504,"Perumbakkam,Chennai",2,12.9053,80.1986,2,38
Plot  Area,Ready To Move,2,1079.754601,"Patturaickal,Thrissur",4,10.52,76.21,,44
Super built-up  Area,Ready To Move,3,1200,"Ahinsa Khand 2,Ghaziabad",2,28.9196,76.8972,2,75
Plot  Area,Ready To Move,4,2200.488998,"Adajan,Surat",3,24.395822,78.989627,2,90
Super built-up  Area,Ready To Move,6,5800.464037,"Rambagh,Jaipur",2,26.901661,75.815245,2,500
Plot  Area,Ready To Move,4,2100.375857,"Indirapuram,Ghaziabad",5,28.63676,77.36315,,95
Super built-up  Area,Ready To Move,1,550.1222494,"Doddathoguru,Bangalore",2,12.843566,77.652108,2,18
Super built-up  Area,Ready To Move,3,1635.244325,"Muneshwara Nagar,Bangalore",2,12.976477,77.478073,1,85
Built-up  Area,Ready To Move,1,537.0462456,"Kothrud,Pune",4,18.5101,73.8141,,54
Super built-up  Area,17-Dec,1,650.0742942,"Sector-52 Chandigarh,Chandigarh",3,30.712635,76.738319,3,35
Super built-up  Area,Ready To Move,1,708.7378641,"Punawale,Pune",2,18.637802,73.745912,2,36.5
Plot  Area,Ready To Move,3,1724,"New Chandigarh,Chandigarh",1,30.73528,76.79111,0,86.2
Super built-up  Area,Ready To Move,2,1165.02779,"Sector-150 Noida,Noida",2,28.429614,77.481711,1,54.5
Super built-up  Area,19-Sep,3,1537.9686,"Sindhi Society Chembur,Lalitpur",3,19.048403,72.88731,2,240
Plot  Area,Ready To Move,3,1296.17628,"Kestopur,Kolkata",6,22.605438,88.422084,3,60
Super built-up  Area,Ready To Move,2,1100.173712,"Kaggadasapura,Bangalore",2,12.9816,77.6729,2,38
Plot  Area,Ready To Move,2,1250,"Omkar Nagar,Nagpur",8,20.100361,79.103607,3,45
Super built-up  Area,18-Jul,2,810.3727715,"Omvihar Colony,Indore",2,22.72056,75.84722,1,15
Super built-up  Area,Ready To Move,2,853.2423208,"Gandhi Path,Jaipur",3,25.879721,86.587391,2,25
Plot  Area,Ready To Move,1,685.1155293,"Badlapur,Mumbai",6,18.96667,72.83333,2,25.5
Super built-up  Area,Ready To Move,2,976.1023225,"Raj Nagar Extension,Ghaziabad",2,26.900926,75.775927,2,29
Super built-up  Area,21-Dec,2,1200,"Misrod,Bhopal",3,23.16083,77.46833,2,21
Built-up  Area,Ready To Move,1,584.9665841,"Goregaon (East),Mumbai",2,19.1615,72.8731,1,77.9
Super built-up  Area,Ready To Move,3,2190.026954,"Sector-137 Noida,Noida",2,28.506454,77.409568,2,130
Super built-up  Area,Ready To Move,2,2124.372345,"Thiyagaraya Nagar,Chennai",2,24.090195,87.990011,1,55
Super built-up  Area,Ready To Move,3,1295.824102,"Sindhu Wadi,Lalitpur",3,24.69028,78.41889,,310
Super built-up  Area,Ready To Move,3,2200,"Madhurawada,Visakhapatnam",2,17.815234,83.35818,2,66
Super built-up  Area,Ready To Move,1,525.0596659,"Anekal,Bangalore",2,12.732961,77.707059,1,22
Super built-up  Area,Ready To Move,4,1510.45701,"Atladra,Vadodara",3,22.271018,73.154216,3,39
Super built-up  Area,Ready To Move,2,1344.87686,"Rajaji Nagar,Bangalore",3,12.9847,77.5491,2,160
Super built-up  Area,18-Dec,2,500,"Halalpura,Bhopal",2,24.23989,76.926836,0,16
Super built-up  Area,21-Dec,2,1125.082727,"Mahadevpura,Bangalore",2,12.934997,77.615857,2,85
Super built-up  Area,Ready To Move,1,450.1385042,"Talpuri,Bhilai",2,21.17549,81.312773,1,6.5
Built-up  Area,Ready To Move,3,1377.410468,"Lal Kuan,Ghaziabad",2,28.634537,77.471342,2,45
Plot  Area,19-Jan,2,929.4832073,"Malad (East),Lalitpur",3,19.1758,72.8643,2,150
Built-up  Area,Ready To Move,1,727.9344859,"Dombivli (East),Lalitpur",5,19.2167,73.0833,1,32
Built-up  Area,Ready To Move,2,810.0147275,"Sainik Colony,Faridabad",4,28.255907,77.065858,1,33
Super built-up  Area,Ready To Move,3,1408.15719,"Aerocity,Mohali",2,30.696627,76.693764,2,47.3
Super built-up  Area,Ready To Move,3,1925.320887,"Sahastradhara,Dehradun",2,30.382066,78.123734,1,66
Super built-up  Area,Ready To Move,2,1050.295858,"Sector-44 Noida,Noida",2,28.552626,77.333948,2,35.5
Super built-up  Area,Ready To Move,2,8796.296296,"Jhotwara,Jaipur",2,26.955346,75.734793,1,19
Super built-up  Area,Ready To Move,4,2286.374134,"Egattur,Chennai",2,12.836144,80.232993,2,99
Super built-up  Area,Ready To Move,4,1993.024415,"Abhay Khand 2,Ghaziabad",2,28.66667,77.41667,2,120
Super built-up  Area,Ready To Move,1,674.9401263,"Thirupalya,Bangalore",3,12.822566,77.667346,1,31
Super built-up  Area,Ready To Move,3,1392.145369,"Shankar Kalat Nagar,Pune",2,19.957301,73.839897,1,95
Super built-up  Area,18-Apr,2,1000,"Chembur,Maharashtra",2,19.05871,72.89969,1,150
Super built-up  Area,Ready To Move,2,820.1202843,"Rathtala,Kolkata",3,22.572598,88.412702,2,30
Super built-up  Area,Ready To Move,5,2645.082791,"JVLR,Maharashtra",2,18.96,72.82,2,500
Plot  Area,Ready To Move,3,1492.537313,"Kasturi Nagar,Bangalore",4,12.96991,77.59796,3,100
Super built-up  Area,Ready To Move,2,873.1082654,"Yelahanka,Bangalore",3,13.11389,77.59833,3,45
Super built-up  Area,Ready To Move,4,3087.563295,"Suraj Kund,Faridabad",2,28.488415,77.285903,2,250
Built-up  Area,Ready To Move,2,1200.063161,"9th Block Jayanagar,Bangalore",3,26.696758,90.513797,3,76
Plot  Area,Ready To Move,1,584.1803949,"Borivali (West),Maharashtra",7,19.2361,72.8338,3,100
Super built-up  Area,Ready To Move,2,1150.012778,"Sector-3 Ulwe,Mumbai",2,19.000869,73.118903,2,90
Super built-up  Area,Ready To Move,3,1780.014731,"Chembur (East),Mumbai",2,19.05871,72.89969,1,290
Super built-up  Area,Ready To Move,3,3086.980207,"Lower Parel,Mumbai",3,18.996305,72.827789,2,850
Super built-up  Area,Ready To Move,2,850.0772798,"Sector-134 Noida,Noida",3,28.5041,77.381557,3,33
Plot  Area,Ready To Move,2,1220.232238,"Dasarahalli,Bangalore",4,13.09873,77.83889,2,62
Super built-up  Area,Ready To Move,2,785.4545455,"Worli,Lalitpur",2,19.0167,72.8167,2,270
Super built-up  Area,Ready To Move,3,769.2307692,"Jogeshwari (West),Lalitpur",2,19.141644,72.842908,1,200
Super built-up  Area,Ready To Move,1,600,"Chowk Pandariba,Allahabad",3,25.43679,81.83409,2,30
Super built-up  Area,18-Jun,2,979.9118079,"Sector - 22 Dharuhera,Dharuhera",2,28.595305,77.347365,1,40
Super built-up  Area,Ready To Move,1,818.4851728,"Chembur (East),Maharashtra",2,19.05871,72.89969,1,130
Super built-up  Area,Ready To Move,2,1146.025878,"Yemlur,Bangalore",2,12.96991,77.59796,1,93
Plot  Area,Ready To Move,3,1502.057613,"Faizabad Road,Lucknow",5,26.86056,80.91583,3,73
Super built-up  Area,Ready To Move,1,697.0849176,"Neeladri Nagar,Bangalore",2,12.986987,77.736436,2,22
Plot  Area,Ready To Move,3,2247.611912,"Zirakpur,Chandigarh",4,30.662283,76.822397,3,120
Super built-up  Area,Ready To Move,2,1305.109024,"Suraksha Nagar,Bangalore",2,20.098413,79.10786,1,82
Super built-up  Area,Ready To Move,3,1860.672819,"Sector 88 Faridabad,Faridabad",3,28.431862,77.351104,2,62.5
Super built-up  Area,18-Aug,2,1000,"Mansarovar,Jaipur",2,26.8626,75.7633,1,25
Super built-up  Area,Ready To Move,2,1000,"Manjri BK,Pune",2,18.490075,73.968862,1,70
Super built-up  Area,18-May,1,650.0742942,"kewal colony,Amravati",2,20.93333,77.75,1,17.5
Super built-up  Area,18-Apr,2,493.3899906,"Hinjewadi,Maharashtra",2,18.5853,73.7413,1,41.8
Super built-up  Area,17-Dec,2,820.035461,"Kattupakkam,Chennai",6,13.042089,80.124264,2,37
Super built-up  Area,Ready To Move,1,670.0167504,"Dhayari Phata,Pune",2,18.53,73.84,1,32
Super built-up  Area,Ready To Move,3,1357.019492,"Dum Dum,Kolkata",3,22.648322,88.4431525,3,55
Super built-up  Area,Ready To Move,2,523.5236633,"Borivali (West),Lalitpur",3,19.2361,72.8338,3,150
Super built-up  Area,Ready To Move,2,1267.123288,"Hennur Road,Bangalore",2,13.0306,77.6485,1,92.5
Super built-up  Area,Ready To Move,3,1295.097132,"Sector-74 Noida,Noida",1,28.577673,77.389781,0,70
Super built-up  Area,Ready To Move,2,1131.901132,"St Tukaram Nagar,Pune",2,18.714661,73.678196,1,49
Super built-up  Area,Ready To Move,2,495.378544,"Ambernath West,Mumbai",2,18.96,72.82,2,47.7
Built-up  Area,Ready To Move,2,580.904098,"Goregaon (East),Mumbai",3,19.1615,72.8731,2,110
Super built-up  Area,Ready To Move,2,900.0423549,"Kalaimagal Nagar,Chennai",2,24.090195,87.990011,2,85
Super built-up  Area,Ready To Move,3,2000,"Gandhi Nagar,Secunderabad",3,17.416255,78.492489,2,80
Super built-up  Area,Ready To Move,2,1230.046948,"Sector-62 Noida,Noida",2,28.6221,77.3674,1,65.5
Super built-up  Area,18-May,3,1250,"Sector-45 Noida,Noida",3,28.553374,77.355611,2,45
Super built-up  Area,Ready To Move,2,1128.09856,"Sector 19 Ulwe,Maharashtra",2,19.049989,73.077321,2,76
Super built-up  Area,Ready To Move,2,749.2641156,"Thane West,Mumbai",3,19.18,72.96333,3,140
Super built-up  Area,Ready To Move,3,2000,"Ram Nagar,Jaipur",2,26.82123,75.869526,1,150
Super built-up  Area,20-Dec,2,1155.455423,"Zirakpur,Chandigarh",3,30.662283,76.822397,0,35.9
Super built-up  Area,17-Nov,3,1730.103806,"Zirakpur,Chandigarh",1,30.662283,76.822397,0,65
Built-up  Area,Ready To Move,1,833.6602589,"Wadala,Lalitpur",1,24.69028,78.41889,1,170
Carpet  Area,Ready To Move,3,2103.049422,"Sector-104 Noida,Noida",2,28.537227,77.370417,1,180
Built-up  Area,Ready To Move,2,831.1564949,"New Town,Kolkata",2,22.5922,88.484911,1,35
Super built-up  Area,18-Aug,3,1552.238806,"Parappana Agrahara,Bangalore",2,12.885657,77.661476,0,130
Plot  Area,Ready To Move,2,1041.028781,"Raj Nagar Extension,Ghaziabad",4,26.900926,75.775927,,34
Super built-up  Area,18-May,3,1174.611535,"Jalukbari,Guwahati",2,26.154874,91.670312,1,44.6
Super built-up  Area,Ready To Move,3,1430.103683,"Sector-151 Noida,Noida",5,28.44414,77.465898,2,40
Super built-up  Area,18-Mar,2,1253.031528,"Wagholi,Pune",2,18.5823,73.983,0,62
Super built-up  Area,Ready To Move,4,3500,"Dadar (East),Mumbai",2,19.01798,72.84476,1,1050
Built-up  Area,Ready To Move,1,418.0213655,"Palghar,Palghar",1,19.696531,72.767746,1,18
Built-up  Area,Ready To Move,3,1316.261816,"Picnic Garden,Kolkata",2,22.54111,88.33778,2,110
Built-up  Area,Ready To Move,2,784.893116,"Hiranandani Estate,Mumbai",3,19.255098,72.9815265,2,170
Super built-up  Area,Ready To Move,2,673.0065838,"Malad (East),Mumbai",2,19.1758,72.8643,2,230
Built-up  Area,Ready To Move,3,1232.126559,"Devanahalli,Bangalore",2,13.23,77.7,2,81
Built-up  Area,Ready To Move,2,1200.120012,"Garia,Kolkata",2,22.403867,88.470006,2,40
Plot  Area,Ready To Move,2,1160,"Ragavendra Nagar,Pondicherry",1,11.946984,79.482298,1,52.2
Super built-up  Area,18-Oct,3,1650.20477,"Banashankari Stage V,Bangalore",2,12.9223,77.5532,1,68.5
